Accident_ID,Date,State,Time,Weather,Vehicles_Involved,Severity,Casualties,Vehicle_Type,Hour,Year,Month,Day,Time_of_Day
A0065,2022-06-03,Delhi,06:41,Snowy,4,Fatal,1,Bike,6,2022.0,6.0,3.0,Morning
A0066,2022-07-03,Tamil Nadu,15:25,Rainy,3,Minor,3,Bus,15,2022.0,7.0,3.0,Afternoon
A0067,2022-08-03,Maharashtra,20:29,Snowy,2,Minor,1,Bike,20,2022.0,8.0,3.0,Evening
A0068,2022-09-03,Tamil Nadu,04:16,Foggy,3,Minor,3,Auto,4,2022.0,9.0,3.0,Night
A0069,2022-10-03,Maharashtra,04:15,Foggy,2,Minor,3,Auto,4,2022.0,10.0,3.0,Night
A0070,2022-11-03,West Bengal,23:35,Clear,3,Minor,4,Car,23,2022.0,11.0,3.0,Night
A0071,2022-12-03,West Bengal,17:16,Cloudy,3,Serious,0,Auto,17,2022.0,12.0,3.0,Evening
A0072,,West Bengal,23:37,Snowy,2,Minor,3,Car,23,,,,Night
A0073,,Maharashtra,13:57,Rainy,2,Minor,2,Bus,13,,,,Afternoon
A0074,,Tamil Nadu,18:25,Foggy,2,Serious,5,Bike,18,,,,Evening
A0075,,West Bengal,11:14,Clear,1,Minor,0,Bike,11,,,,Morning
A0076,,Karnataka,04:32,Clear,4,Serious,0,Car,4,,,,Night
A0077,,Maharashtra,15:05,Snowy,1,Minor,0,Bike,15,,,,Afternoon
A0078,,Maharashtra,01:55,Foggy,1,Minor,4,Auto,1,,,,Night
A0079,,Tamil Nadu,03:09,Cloudy,3,Serious,3,Truck,3,,,,Night
A0080,,Maharashtra,20:10,Foggy,2,Serious,4,Car,20,,,,Evening
A0081,,Maharashtra,21:27,Snowy,4,Serious,3,Bike,21,,,,Night
A0082,,West Bengal,19:04,Snowy,3,Serious,4,Car,19,,,,Evening
A0083,,Tamil Nadu,12:24,Foggy,1,Serious,4,Car,12,,,,Afternoon
A0084,,West Bengal,19:29,Snowy,2,Minor,5,Truck,19,,,,Evening
A0085,,West Bengal,16:16,Foggy,3,Minor,2,Auto,16,,,,Afternoon
A0086,,Tamil Nadu,17:55,Rainy,2,Serious,4,Car,17,,,,Evening
A0087,,Delhi,00:43,Foggy,3,Serious,5,Bike,0,,,,Night
A0088,,West Bengal,23:07,Foggy,2,Fatal,1,Bus,23,,,,Night
A0089,,Karnataka,21:56,Snowy,1,Minor,2,Car,21,,,,Night
A0090,,Karnataka,17:48,Snowy,4,Minor,4,Car,17,,,,Evening
A0091,2022-01-04,Maharashtra,08:49,Clear,1,Serious,0,Truck,8,2022.0,1.0,4.0,Morning
A0092,2022-02-04,Karnataka,20:21,Clear,4,Minor,1,Auto,20,2022.0,2.0,4.0,Evening
A0093,2022-03-04,Maharashtra,03:18,Rainy,2,Fatal,1,Bus,3,2022.0,3.0,4.0,Night
A0094,2022-04-04,Delhi,13:10,Clear,3,Serious,5,Bike,13,2022.0,4.0,4.0,Afternoon
A0095,2022-05-04,Tamil Nadu,14:00,Foggy,1,Minor,1,Bus,14,2022.0,5.0,4.0,Afternoon
A0096,2022-06-04,Tamil Nadu,23:56,Snowy,4,Serious,2,Bike,23,2022.0,6.0,4.0,Night
A0097,2022-07-04,Tamil Nadu,23:16,Clear,1,Serious,4,Auto,23,2022.0,7.0,4.0,Night
A0098,2022-08-04,Karnataka,16:48,Clear,4,Minor,4,Bike,16,2022.0,8.0,4.0,Afternoon
A0099,2022-09-04,Delhi,05:32,Rainy,1,Fatal,0,Truck,5,2022.0,9.0,4.0,Morning
A0100,2022-10-04,Karnataka,03:55,Rainy,4,Minor,5,Truck,3,2022.0,10.0,4.0,Night
A0101,2022-11-04,Karnataka,20:19,Foggy,4,Serious,0,Truck,20,2022.0,11.0,4.0,Evening
A0102,2022-12-04,Delhi,20:32,Snowy,2,Minor,1,Truck,20,2022.0,12.0,4.0,Evening
A0103,,Delhi,19:12,Rainy,4,Serious,0,Bus,19,,,,Evening
A0104,,Delhi,04:23,Clear,2,Minor,2,Auto,4,,,,Night
A0105,,Delhi,05:34,Snowy,4,Minor,4,Bike,5,,,,Morning
A0106,,Tamil Nadu,16:58,Snowy,3,Fatal,1,Bike,16,,,,Afternoon
A0107,,Uttar Pradesh,00:38,Clear,3,Minor,0,Truck,0,,,,Night
A0108,,Uttar Pradesh,10:31,Rainy,3,Minor,5,Truck,10,,,,Morning
A0109,,Delhi,00:07,Clear,4,Fatal,2,Car,0,,,,Night
A0110,,Uttar Pradesh,11:56,Snowy,2,Fatal,2,Auto,11,,,,Morning
A0111,,Uttar Pradesh,09:15,Cloudy,2,Minor,0,Bus,9,,,,Morning
A0112,,Delhi,01:15,Cloudy,4,Serious,4,Bike,1,,,,Night
A0113,,Uttar Pradesh,18:05,Foggy,3,Minor,0,Car,18,,,,Evening
A0114,,Karnataka,02:46,Clear,3,Minor,1,Car,2,,,,Night
A0115,,Maharashtra,15:52,Clear,2,Minor,0,Bike,15,,,,Afternoon
A0116,,Maharashtra,02:48,Foggy,3,Serious,2,Bus,2,,,,Night
A0117,,Delhi,17:49,Foggy,1,Serious,0,Car,17,,,,Evening
A0118,,Tamil Nadu,04:08,Foggy,2,Serious,4,Car,4,,,,Night
A0119,,Delhi,21:30,Snowy,3,Serious,5,Auto,21,,,,Night
A0120,,Tamil Nadu,17:10,Clear,2,Minor,3,Bus,17,,,,Evening
A0121,2022-01-05,Maharashtra,08:33,Snowy,1,Minor,0,Car,8,2022.0,1.0,5.0,Morning
A0122,2022-02-05,Delhi,19:27,Foggy,2,Minor,4,Bus,19,2022.0,2.0,5.0,Evening
A0123,2022-03-05,West Bengal,06:59,Clear,2,Minor,4,Bike,6,2022.0,3.0,5.0,Morning
A0124,2022-04-05,Karnataka,17:48,Snowy,2,Minor,5,Truck,17,2022.0,4.0,5.0,Evening
A0125,2022-05-05,Uttar Pradesh,23:44,Snowy,2,Serious,2,Car,23,2022.0,5.0,5.0,Night
A0126,2022-06-05,Tamil Nadu,06:45,Foggy,1,Minor,4,Auto,6,2022.0,6.0,5.0,Morning
A0127,2022-07-05,West Bengal,09:25,Clear,4,Minor,4,Bike,9,2022.0,7.0,5.0,Morning
A0128,2022-08-05,Uttar Pradesh,21:41,Foggy,2,Minor,4,Bus,21,2022.0,8.0,5.0,Night
A0129,2022-09-05,Uttar Pradesh,11:28,Clear,2,Serious,4,Bike,11,2022.0,9.0,5.0,Morning
A0130,2022-10-05,Delhi,16:28,Cloudy,3,Serious,1,Car,16,2022.0,10.0,5.0,Afternoon
A0131,2022-11-05,Uttar Pradesh,03:15,Rainy,2,Minor,1,Bus,3,2022.0,11.0,5.0,Night
A0132,2022-12-05,Karnataka,07:04,Rainy,3,Minor,2,Truck,7,2022.0,12.0,5.0,Morning
A0133,,West Bengal,10:01,Rainy,4,Serious,0,Bike,10,,,,Morning
A0134,,Uttar Pradesh,18:35,Foggy,1,Minor,4,Car,18,,,,Evening
A0135,,Delhi,07:37,Cloudy,1,Serious,5,Auto,7,,,,Morning
A0136,,Karnataka,07:00,Clear,4,Serious,0,Bus,7,,,,Morning
A0137,,Maharashtra,02:45,Snowy,1,Minor,5,Bike,2,,,,Night
A0138,,West Bengal,20:03,Clear,4,Minor,0,Bike,20,,,,Evening
A0139,,Uttar Pradesh,07:04,Snowy,4,Fatal,2,Truck,7,,,,Morning
A0140,,Delhi,01:55,Clear,4,Minor,4,Truck,1,,,,Night
A0141,,Maharashtra,10:04,Cloudy,1,Minor,4,Auto,10,,,,Morning
A0142,,Maharashtra,16:15,Snowy,3,Serious,3,Auto,16,,,,Afternoon
A0143,,Tamil Nadu,08:42,Foggy,4,Fatal,5,Car,8,,,,Morning
A0144,,Karnataka,15:13,Clear,2,Fatal,0,Car,15,,,,Afternoon
A0145,,Uttar Pradesh,17:08,Clear,1,Serious,0,Auto,17,,,,Evening
A0146,,Delhi,23:59,Snowy,4,Minor,1,Auto,23,,,,Night
A0147,,Tamil Nadu,18:36,Foggy,4,Minor,3,Bus,18,,,,Evening
A0148,,Karnataka,15:15,Foggy,2,Serious,1,Truck,15,,,,Afternoon
A0149,,Tamil Nadu,15:51,Cloudy,3,Minor,1,Car,15,,,,Afternoon
A0150,,West Bengal,13:12,Foggy,3,Minor,1,Truck,13,,,,Afternoon
