Accident_ID,Date,State,Time,Weather,Vehicles_Involved,Severity,Casualties,Vehicle_Type
A0059,28-02-2022,Tamil Nadu,01:51,Cloudy,2,Serious,3,Auto
A0060,01-03-2022,Tamil Nadu,10:25,Clear,3,Minor,4,Bike
A0061,02-03-2022,Tamil Nadu,08:04,Clear,4,Minor,1,Truck
A0062,03-03-2022,Karnataka,06:58,Foggy,2,Fatal,3,Truck
A0063,04-03-2022,Uttar Pradesh,18:56,Rainy,4,Minor,3,Auto
A0064,05-03-2022,West Bengal,22:20,Cloudy,2,Fatal,1,Auto
A0065,06-03-2022,Delhi,06:41,Snowy,4,Fatal,1,Bike
A0066,07-03-2022,Tamil Nadu,15:25,Rainy,3,Minor,3,Bus
A0067,08-03-2022,Maharashtra,20:29,Snowy,2,Minor,1,Bike
A0068,09-03-2022,Tamil Nadu,04:16,Foggy,3,Minor,3,Auto
A0069,10-03-2022,Maharashtra,04:15,Foggy,2,Minor,3,Auto
A0070,11-03-2022,West Bengal,23:35,Clear,3,Minor,4,Car
A0071,12-03-2022,West Bengal,17:16,Cloudy,3,Serious,0,Auto
A0072,13-03-2022,West Bengal,23:37,Snowy,2,Minor,3,Car
A0073,14-03-2022,Maharashtra,13:57,Rainy,2,Minor,2,Bus
A0074,15-03-2022,Tamil Nadu,18:25,Foggy,2,Serious,5,Bike
A0075,16-03-2022,West Bengal,11:14,Clear,1,Minor,0,Bike
A0076,17-03-2022,Karnataka,04:32,Clear,4,Serious,0,Car
A0077,18-03-2022,Maharashtra,15:05,Snowy,1,Minor,0,Bike
A0078,19-03-2022,Maharashtra,01:55,Foggy,1,Minor,4,Auto
A0079,20-03-2022,Tamil Nadu,03:09,Cloudy,3,Serious,3,Truck
A0080,21-03-2022,Maharashtra,20:10,Foggy,2,Serious,4,Car
A0081,22-03-2022,Maharashtra,21:27,Snowy,4,Serious,3,Bike
A0082,23-03-2022,West Bengal,19:04,Snowy,3,Serious,4,Car
A0083,24-03-2022,Tamil Nadu,12:24,Foggy,1,Serious,4,Car
A0084,25-03-2022,West Bengal,19:29,Snowy,2,Minor,5,Truck
A0085,26-03-2022,West Bengal,16:16,Foggy,3,Minor,2,Auto
A0086,27-03-2022,Tamil Nadu,17:55,Rainy,2,Serious,4,Car
A0087,28-03-2022,Delhi,00:43,Foggy,3,Serious,5,Bike
A0088,29-03-2022,West Bengal,23:07,Foggy,2,Fatal,1,Bus
A0089,30-03-2022,Karnataka,21:56,Snowy,1,Minor,2,Car
A0090,31-03-2022,Karnataka,17:48,Snowy,4,Minor,4,Car
A0091,01-04-2022,Maharashtra,08:49,Clear,1,Serious,0,Truck
A0092,02-04-2022,Karnataka,20:21,Clear,4,Minor,1,Auto
A0093,03-04-2022,Maharashtra,03:18,Rainy,2,Fatal,1,Bus
A0094,04-04-2022,Delhi,13:10,Clear,3,Serious,5,Bike
A0095,05-04-2022,Tamil Nadu,14:00,Foggy,1,Minor,1,Bus
A0096,06-04-2022,Tamil Nadu,23:56,Snowy,4,Serious,2,Bike
A0097,07-04-2022,Tamil Nadu,23:16,Clear,1,Serious,4,Auto
A0098,08-04-2022,Karnataka,16:48,Clear,4,Minor,4,Bike
A0099,09-04-2022,Delhi,05:32,Rainy,1,Fatal,0,Truck
A0100,10-04-2022,Karnataka,03:55,Rainy,4,Minor,5,Truck
A0101,11-04-2022,Karnataka,20:19,Foggy,4,Serious,0,Truck
A0102,12-04-2022,Delhi,20:32,Snowy,2,Minor,1,Truck
A0103,13-04-2022,Delhi,19:12,Rainy,4,Serious,0,Bus
A0104,14-04-2022,Delhi,04:23,Clear,2,Minor,2,Auto
A0105,15-04-2022,Delhi,05:34,Snowy,4,Minor,4,Bike
A0106,16-04-2022,Tamil Nadu,16:58,Snowy,3,Fatal,1,Bike
A0107,17-04-2022,Uttar Pradesh,00:38,Clear,3,Minor,0,Truck
A0108,18-04-2022,Uttar Pradesh,10:31,Rainy,3,Minor,5,Truck
A0109,19-04-2022,Delhi,00:07,Clear,4,Fatal,2,Car
A0110,20-04-2022,Uttar Pradesh,11:56,Snowy,2,Fatal,2,Auto
A0111,21-04-2022,Uttar Pradesh,09:15,Cloudy,2,Minor,0,Bus
A0112,22-04-2022,Delhi,01:15,Cloudy,4,Serious,4,Bike
A0113,23-04-2022,Uttar Pradesh,18:05,Foggy,3,Minor,0,Car
A0114,24-04-2022,Karnataka,02:46,Clear,3,Minor,1,Car
A0115,25-04-2022,Maharashtra,15:52,Clear,2,Minor,0,Bike
A0116,26-04-2022,Maharashtra,02:48,Foggy,3,Serious,2,Bus
A0117,27-04-2022,Delhi,17:49,Foggy,1,Serious,0,Car
A0118,28-04-2022,Tamil Nadu,04:08,Foggy,2,Serious,4,Car
A0119,29-04-2022,Delhi,21:30,Snowy,3,Serious,5,Auto
A0120,30-04-2022,Tamil Nadu,17:10,Clear,2,Minor,3,Bus
A0121,01-05-2022,Maharashtra,08:33,Snowy,1,Minor,0,Car
A0122,02-05-2022,Delhi,19:27,Foggy,2,Minor,4,Bus
A0123,03-05-2022,West Bengal,06:59,Clear,2,Minor,4,Bike
A0124,04-05-2022,Karnataka,17:48,Snowy,2,Minor,5,Truck
A0125,05-05-2022,Uttar Pradesh,23:44,Snowy,2,Serious,2,Car
A0126,06-05-2022,Tamil Nadu,06:45,Foggy,1,Minor,4,Auto
A0127,07-05-2022,West Bengal,09:25,Clear,4,Minor,4,Bike
A0128,08-05-2022,Uttar Pradesh,21:41,Foggy,2,Minor,4,Bus
A0129,09-05-2022,Uttar Pradesh,11:28,Clear,2,Serious,4,Bike
A0130,10-05-2022,Delhi,16:28,Cloudy,3,Serious,1,Car
A0131,11-05-2022,Uttar Pradesh,03:15,Rainy,2,Minor,1,Bus
A0132,12-05-2022,Karnataka,07:04,Rainy,3,Minor,2,Truck
A0133,13-05-2022,West Bengal,10:01,Rainy,4,Serious,0,Bike
A0134,14-05-2022,Uttar Pradesh,18:35,Foggy,1,Minor,4,Car
A0135,15-05-2022,Delhi,07:37,Cloudy,1,Serious,5,Auto
A0136,16-05-2022,Karnataka,07:00,Clear,4,Serious,0,Bus
A0137,17-05-2022,Maharashtra,02:45,Snowy,1,Minor,5,Bike
A0138,18-05-2022,West Bengal,20:03,Clear,4,Minor,0,Bike
A0139,19-05-2022,Uttar Pradesh,07:04,Snowy,4,Fatal,2,Truck
A0140,20-05-2022,Delhi,01:55,Clear,4,Minor,4,Truck
A0141,21-05-2022,Maharashtra,10:04,Cloudy,1,Minor,4,Auto
A0142,22-05-2022,Maharashtra,16:15,Snowy,3,Serious,3,Auto
A0143,23-05-2022,Tamil Nadu,08:42,Foggy,4,Fatal,5,Car
A0144,24-05-2022,Karnataka,15:13,Clear,2,Fatal,0,Car
A0145,25-05-2022,Uttar Pradesh,17:08,Clear,1,Serious,0,Auto
A0146,26-05-2022,Delhi,23:59,Snowy,4,Minor,1,Auto
A0147,27-05-2022,Tamil Nadu,18:36,Foggy,4,Minor,3,Bus
A0148,28-05-2022,Karnataka,15:15,Foggy,2,Serious,1,Truck
A0149,29-05-2022,Tamil Nadu,15:51,Cloudy,3,Minor,1,Car
A0150,30-05-2022,West Bengal,13:12,Foggy,3,Minor,1,Truck
